#random comment will be replaced;;;;
RCM;GCM;resolution;rcp;chain_name
CLMCOM-CCLM4;ECEARTH;EUR11;RCP45;CLMCOM-CCLM4_ECEARTH_EUR11_RCP45
CLMCOM-CCLM4;ECEARTH;EUR11;RCP85;CLMCOM-CCLM4_ECEARTH_EUR11_RCP85
CLMCOM-CCLM4;HADGEM;EUR11;RCP45;CLMCOM-CCLM4_HADGEM_EUR11_RCP45
CLMCOM-CCLM4;HADGEM;EUR11;RCP85;CLMCOM-CCLM4_HADGEM_EUR11_RCP85
CLMCOM-CCLM4;HADGEM;EUR44;RCP85;CLMCOM-CCLM4_HADGEM_EUR44_RCP85
CLMCOM-CCLM4;MPIESM;EUR11;RCP45;CLMCOM-CCLM4_MPIESM_EUR11_RCP45
CLMCOM-CCLM4;MPIESM;EUR11;RCP85;CLMCOM-CCLM4_MPIESM_EUR11_RCP85
CLMCOM-CCLM4;MPIESM;EUR44;RCP45;CLMCOM-CCLM4_MPIESM_EUR44_RCP45
CLMCOM-CCLM4;MPIESM;EUR44;RCP85;CLMCOM-CCLM4_MPIESM_EUR44_RCP85
CLMCOM-CCLM5;ECEARTH;EUR44;RCP85;CLMCOM-CCLM5_ECEARTH_EUR44_RCP85
CLMCOM-CCLM5;HADGEM;EUR44;RCP85;CLMCOM-CCLM5_HADGEM_EUR44_RCP85
CLMCOM-CCLM5;MIROC;EUR44;RCP85;CLMCOM-CCLM5_MIROC_EUR44_RCP85
CLMCOM-CCLM5;MPIESM;EUR44;RCP85;CLMCOM-CCLM5_MPIESM_EUR44_RCP85
DMI-HIRHAM;ECEARTH;EUR11;RCP26;DMI-HIRHAM_ECEARTH_EUR11_RCP26
DMI-HIRHAM;ECEARTH;EUR11;RCP45;DMI-HIRHAM_ECEARTH_EUR11_RCP45
DMI-HIRHAM;ECEARTH;EUR11;RCP85;DMI-HIRHAM_ECEARTH_EUR11_RCP85
DMI-HIRHAM;ECEARTH;EUR44;RCP45;DMI-HIRHAM_ECEARTH_EUR44_RCP45
DMI-HIRHAM;ECEARTH;EUR44;RCP85;DMI-HIRHAM_ECEARTH_EUR44_RCP85
KNMI-RACMO;ECEARTH;EUR44;RCP45;KNMI-RACMO_ECEARTH_EUR44_RCP45
KNMI-RACMO;ECEARTH;EUR44;RCP85;KNMI-RACMO_ECEARTH_EUR44_RCP85
KNMI-RACMO;HADGEM;EUR44;RCP26;KNMI-RACMO_HADGEM_EUR44_RCP26
KNMI-RACMO;HADGEM;EUR44;RCP45;KNMI-RACMO_HADGEM_EUR44_RCP45
KNMI-RACMO;HADGEM;EUR44;RCP85;KNMI-RACMO_HADGEM_EUR44_RCP85
MPICSC-REMO1;MPIESM;EUR11;RCP26;MPICSC-REMO1_MPIESM_EUR11_RCP26
MPICSC-REMO1;MPIESM;EUR11;RCP45;MPICSC-REMO1_MPIESM_EUR11_RCP45
MPICSC-REMO1;MPIESM;EUR11;RCP85;MPICSC-REMO1_MPIESM_EUR11_RCP85
MPICSC-REMO1;MPIESM;EUR44;RCP26;MPICSC-REMO1_MPIESM_EUR44_RCP26
MPICSC-REMO1;MPIESM;EUR44;RCP45;MPICSC-REMO1_MPIESM_EUR44_RCP45
MPICSC-REMO1;MPIESM;EUR44;RCP85;MPICSC-REMO1_MPIESM_EUR44_RCP85
MPICSC-REMO2;MPIESM;EUR11;RCP26;MPICSC-REMO2_MPIESM_EUR11_RCP26
