"STATION_NAME","NAT_ABBR","LATITUDE","LONGITUDE","XCOORD","YCOORD","ELEVATION"
"Aadorf / Tänikon","TAE",47.48,8.9049,710515,259821,539
"Aigle","AIG",46.327,6.9244,560401,130713,381.02
"Altdorf","ALT",46.887,8.6218,690174,193558,438
"Bad Ragaz","RAG",47.017,9.5026,756910,209351,496
"Basel / Binningen","BAS",47.541,7.5836,610911,265601,316.17
"Bern / Zollikofen","BER",46.991,7.464,601930,204410,552.84
"Buchs / Aarau","BUS",47.384,8.0794,648389,248365,386.66
"Chur","CHU",46.87,9.5305,759466,193153,556
"Elm","ELM",46.924,9.1753,732265,198425,958
"Fahy","FAH",47.424,6.9411,562458,252676,596
"Genève / Cointrin","GVE",46.248,6.1277,498905,122632,410.88
"Glarus","GLA",47.035,9.0669,723752,210568,516.62
"Güttingen","GUT",47.602,9.2794,738420,273960,440.02
"Interlaken","INT",46.672,7.8701,633019,169093,577.34
"Locarno / Monti","OTL",46.173,8.7874,704160,114350,366.75
"Lugano","LUG",46.004,8.9603,717874,95884,273
"Luzern","LUZ",47.036,8.301,665540,209848,454
"Magadino / Cadenazzo","MAG",46.16,8.9337,715480,113162,203.2
"Meiringen","MER",46.732,8.1692,655844,175930,588.6
"Neuchâtel","NEU",47,6.9533,563087,205560,485
"Nyon / Changins","CGI",46.401,6.2278,506880,139573,455
"Payerne","PAY",46.812,6.9424,562127,184612,490
"Piotta","PIO",46.515,8.6881,695888,152261,990
"Pully","PUY",46.512,6.6674,540811,151514,455.61
"Rünenberg","RUE",47.435,7.8793,633246,253846,611.17
"Schaffhausen","SHA",47.69,8.6201,688698,282796,438
"Sion","SIO",46.219,7.3302,591630,118575,482
"St. Gallen","STG",47.425,9.3985,747865,254588,775.66
"Stabio","SBO",45.843,8.9324,716050,77966,353
"Vaduz","VAD",47.127,9.5175,757719,221697,457.25
"Visp","VIS",46.303,7.8429,631149,128020,639
"Wynau","WYN",47.255,7.7874,626400,233850,422
"Wädenswil","WAE",47.221,8.6777,693847,230744,485.37
"Zürich / Affoltern","REH",47.428,8.5179,681428,253546,443.53
"Zürich / Fluntern","SMA",47.378,8.5657,685117,248066,555.95
"Zürich / Kloten","KLO",47.48,8.5359,682710,259339,426.26
